client_code,first_name,last_name,email,phone,address,city,department,invoice_number,billing_period,total_amount,paid_amount,invoice_status,transaction_reference,transaction_date,transaction_amount,transaction_type,transaction_status,platform_name
CLI186547,Angel,Daniel,rmiller@boyer.com,(873)222-2692x09480,USNS Davis,FPO,AP,FAC7068,2024-06,39940,0,PENDING,TXN001,2024-06-01 10:00:00,38940,PAYMENT,PENDING,Nequi
CLI925688,Matthew,Wilson,matthew15@ramirez.com,(264)225-7425,42023 Barrett Path Suite 281,Jeremyborough,Ohio,FAC6577,2024-06,76145,75145,PARTIAL,TXN002,2024-07-09 12:00:00,75145,PAYMENT,PENDING,Daviplata
CLI231541,Jennifer,Phelps,echristian@hotmail.com,248.695.2117,392 Smith Corners Apt. 737,East Angeltown,Missouri,FAC5707,2024-06,179217,179217,PAID,TXN003,2024-06-13 10:00:00,179217,PAYMENT,FAILED,Daviplata
CLI283326,Jonathan,Cook,zjones@yahoo.com,0756633727,657 Landry Way Suite 966,Robinsonfurt,California,FAC7188,2024-07,52267,51767,PARTIAL,TXN004,2024-07-26 13:00:00,51767,PAYMENT,FAILED,Daviplata
CLI234562,Lindsay,Garcia,juliamatthews@carpenter.com,001-158-358-0277,906 Justin Locks Apt. 838,Port Timothyview,AR,FAC7289,2024-06,157001,156501,PARTIAL,TXN005,2024-07-28 06:00:00,156501,PAYMENT,COMPLETED,Daviplata
CLI553915,Eric,Klein,acostajoshua@hotmail.com,9179003714,0571 Carroll Cliffs,Davisstad,WI,FAC2190,2024-07,33428,32428,PARTIAL,TXN006,2024-07-16 21:00:00,32428,PAYMENT,COMPLETED,Nequi
CLI005498,Ashley,Adams,elambert@cook.info,(224)273-1751x2329,660 Marcus Camp Suite 262,Port Stevenmouth,NC,FAC6207,2024-07,75801,0,PENDING,TXN007,2024-07-26 22:00:00,75301,PAYMENT,PENDING,Daviplata
CLI330039,Meghan,Nguyen,hhughes@randolph-ingram.com,767.278.8207,259 Jared Manor,Brownville,AZ,FAC1691,2024-07,17870,16870,PARTIAL,TXN008,2024-06-17 16:00:00,16870,PAYMENT,PENDING,Nequi
CLI387222,Ryan,Richards,phillipcarter@hotmail.com,001-398-345-1521x215,695 Francis Cliffs,Port Bryantown,VT,FAC4680,2024-06,22294,21794,PARTIAL,TXN009,2024-07-10 23:00:00,21794,PAYMENT,FAILED,Nequi
CLI716832,Janice,Alexander,matthew55@leach-blackburn.com,+1-411-073-0697x704,81268 Hamilton Fort,Fitzgeraldfort,ID,FAC8010,2024-06,193307,0,PENDING,TXN010,2024-06-19 23:00:00,193307,PAYMENT,COMPLETED,Daviplata
CLI651576,Katherine,Dunn,golson@davis.info,6081126986,837 Schneider Spur Suite 656,Darrellmouth,WI,FAC1328,2024-07,159093,0,PENDING,TXN011,2024-06-01 06:00:00,159093,PAYMENT,COMPLETED,Daviplata
CLI488250,Brett,Odom,colemanjames@chavez.info,550.725.0901,952 Barbara Turnpike,Jacquelinebury,Missouri,FAC8140,2024-06,175018,0,PENDING,TXN012,2024-07-12 19:00:00,174518,PAYMENT,PENDING,Nequi
CLI881315,Jenna,Scott,rogerseric@hotmail.com,404-358-1223x371,Unit 1694 Box 1865,DPO,AE,FAC4679,2024-07,110754,0,PENDING,TXN013,2024-07-04 12:00:00,110254,PAYMENT,FAILED,Daviplata
CLI149568,Andrew,Johns,lorinelson@hotmail.com,894-499-5852x2479,62457 Booth Mews Apt. 453,Lake Vincentport,DE,FAC3589,2024-06,163283,0,PENDING,TXN014,2024-07-12 04:00:00,162283,PAYMENT,PENDING,Nequi
CLI029406,Christine,Curtis,christopherferguson@acevedo-robertson.info,554.861.0493x592,2480 Jesse Unions Suite 534,East Antonioshire,MS,FAC6122,2024-07,22161,22161,PAID,TXN015,2024-06-21 12:00:00,22161,PAYMENT,PENDING,Daviplata
CLI805784,Madison,Jones,wattsdavid@morgan-wheeler.com,149.766.5747,USNS Ferguson,FPO,AP,FAC4870,2024-07,196275,195775,PARTIAL,TXN016,2024-07-08 12:00:00,195775,PAYMENT,PENDING,Daviplata
CLI837788,Tracy,Simmons,bryan30@williams.com,0383343588,76775 Jennifer Orchard Apt. 758,Port Lance,NH,FAC5322,2024-06,20824,20824,PAID,TXN017,2024-06-27 03:00:00,20824,PAYMENT,FAILED,Nequi
CLI795476,Shelby,Wolf,daniel46@gmail.com,7506854443,613 Billy Radial Suite 171,South Benjamin,WY,FAC8663,2024-07,191634,0,PENDING,TXN018,2024-07-09 05:00:00,191134,PAYMENT,COMPLETED,Nequi
CLI030358,Kyle,Jackson,pwheeler@yahoo.com,001-392-237-6541x8420,24896 Helen Rapid Suite 758,New Joseph,MN,FAC4380,2024-06,62979,0,PENDING,TXN019,2024-06-16 20:00:00,62979,PAYMENT,COMPLETED,Daviplata
CLI042817,Linda,Shepard,munozcharles@yahoo.com,2931087130,4947 Reynolds Islands,Kathleenburgh,DE,FAC5128,2024-06,37472,0,PENDING,TXN020,2024-06-08 22:00:00,36472,PAYMENT,FAILED,Daviplata
CLI720635,Kathleen,Brady,victoria31@gmail.com,2253893664,Unit 6453 Box 5308,DPO,AA,FAC7986,2024-06,128381,127881,PARTIAL,TXN021,2024-06-16 06:00:00,127881,PAYMENT,COMPLETED,Nequi
CLI125157,Bobby,Luna,kathryn43@hotmail.com,001-549-919-1859,2923 Michael Fords Suite 316,Dustinton,IN,FAC7543,2024-06,26817,0,PENDING,TXN022,2024-07-30 03:00:00,26317,PAYMENT,FAILED,Daviplata
CLI619593,Richard,Lopez,justinallen@quinn.info,+1-418-560-8033x44588,6875 Hill Forks,Teresaland,AL,FAC7964,2024-07,147864,147364,PARTIAL,TXN023,2024-07-27 01:00:00,147364,PAYMENT,PENDING,Nequi
CLI774276,Ralph,Bush,bradleyamy@doyle.com,+1-866-778-9252x6524,03975 Mills Square Apt. 322,Port Claudia,MI,FAC1309,2024-06,153404,153404,PAID,TXN024,2024-06-26 01:00:00,153404,PAYMENT,PENDING,Daviplata
CLI906245,David,Webb,stevenrodriguez@gmail.com,993.305.1410,3613 Laura Ridges Suite 762,South Theresa,VA,FAC8025,2024-07,14710,0,PENDING,TXN025,2024-07-07 10:00:00,14210,PAYMENT,COMPLETED,Nequi
CLI037408,Kim,Russell,cindy11@wood.com,001-136-251-3102x24346,887 Kelley Walk Apt. 960,East Martha,CT,FAC8943,2024-06,49512,49012,PARTIAL,TXN026,2024-06-08 19:00:00,49012,PAYMENT,COMPLETED,Daviplata
CLI677194,Michael,Holt,rmiller@hubbard-benitez.com,882-041-3572,3499 David Lake Suite 745,South Dylan,AK,FAC1190,2024-07,40302,40302,PAID,TXN027,2024-06-28 06:00:00,40302,PAYMENT,FAILED,Daviplata
CLI337665,Mr.,Justin Cook,ofritz@richards.com,737.675.5823,Unit 9907 Box 4757,DPO,AE,FAC4264,2024-07,27833,27833,PAID,TXN028,2024-07-03 01:00:00,27833,PAYMENT,PENDING,Daviplata
CLI808209,Timothy,Wood,christina78@yahoo.com,001-948-037-6474,836 Bates Points,Port Andrewshire,GA,FAC1462,2024-07,30813,0,PENDING,TXN029,2024-07-29 02:00:00,30313,PAYMENT,FAILED,Nequi
CLI617669,Yolanda,Hines,cscott@hotmail.com,(659)333-4905,812 Mccarthy Viaduct Apt. 376,Kristinamouth,AL,FAC6381,2024-07,134884,134884,PAID,TXN030,2024-07-26 20:00:00,134884,PAYMENT,FAILED,Daviplata
CLI390187,Jasmine,Kelly,fitzgeraldelizabeth@yahoo.com,843-277-1394,697 Reynolds Dam Apt. 423,Jacobland,Missouri,FAC8571,2024-07,29482,28982,PARTIAL,TXN031,2024-07-03 10:00:00,28982,PAYMENT,COMPLETED,Nequi
CLI459789,Robert,Smith,smithtimothy@wallace.com,001-595-596-1706x9253,Unit 2774 Box 4368,DPO,AE,FAC7018,2024-06,158030,158030,PAID,TXN032,2024-06-15 17:00:00,158030,PAYMENT,PENDING,Nequi
CLI603096,Jonathan,Smith,debragriffin@hotmail.com,796.397.5185x7448,322 Smith Pines Suite 052,Lake Scotthaven,NM,FAC4082,2024-07,196509,196009,PARTIAL,TXN033,2024-06-24 08:00:00,196009,PAYMENT,FAILED,Daviplata
CLI212515,Erin,Marshall,sethsmith@robinson.com,793.145.6997x893,04382 Edward Mountains Suite 369,Georgeberg,ME,FAC5756,2024-06,69026,68526,PARTIAL,TXN034,2024-06-22 17:00:00,68526,PAYMENT,PENDING,Daviplata
CLI056964,Mark,Ford,millerricardo@hotmail.com,+1-407-009-2402,07900 Friedman Ferry Suite 170,South Christina,WV,FAC9278,2024-06,166287,0,PENDING,TXN035,2024-06-23 12:00:00,165287,PAYMENT,COMPLETED,Nequi
CLI643055,Cynthia,Lee,christinaflores@jones.org,+1-822-188-2029x6929,368 Jones Estates Apt. 059,Jonesstad,New York,FAC6223,2024-06,179265,178265,PARTIAL,TXN036,2024-06-28 11:00:00,178265,PAYMENT,FAILED,Nequi
CLI122773,Sean,Hood,cynthiaevans@hernandez.com,+1-348-069-6954x792,7426 Middleton Hill Suite 303,Millerview,CO,FAC8510,2024-07,98069,98069,PAID,TXN037,2024-07-23 18:00:00,98069,PAYMENT,COMPLETED,Nequi
CLI536043,Kim,Stephens,karen28@johnson.com,(092)586-3570x54204,12967 Ryan Shoals Apt. 994,Port Jesse,Missouri,FAC4305,2024-06,153650,153150,PARTIAL,TXN038,2024-07-28 00:00:00,153150,PAYMENT,COMPLETED,Nequi
CLI822485,Adam,Mckinney,fwilliams@lewis-wu.org,813.559.4153x962,572 Tammy Forest,Youngside,SD,FAC9358,2024-06,87402,0,PENDING,TXN039,2024-06-05 12:00:00,86902,PAYMENT,PENDING,Daviplata
CLI630459,Valerie,Brown,qmcgee@gmail.com,869.591.7228,2739 Hood Rest Apt. 962,Johnburgh,UT,FAC1208,2024-07,97457,96457,PARTIAL,TXN040,2024-06-28 04:00:00,96457,PAYMENT,PENDING,Nequi
CLI909440,Jason,Pace,tjohnson@yahoo.com,001-517-371-6236x2223,19964 Edwards Pines,South Jeremystad,AZ,FAC5492,2024-07,145586,0,PENDING,TXN041,2024-06-07 20:00:00,145586,PAYMENT,FAILED,Daviplata
CLI114561,Gregory,Anderson,julie98@cortez.com,+1-282-173-3048x555,5395 Brandon Freeway Apt. 858,North Melissa,OR,FAC6585,2024-07,163925,163425,PARTIAL,TXN042,2024-07-15 19:00:00,163425,PAYMENT,FAILED,Nequi
CLI808313,Rebecca,Avila,pwilson@sanchez.com,773.248.1617,78969 Mcguire Springs Suite 562,Port Christopher,NJ,FAC2187,2024-07,186218,186218,PAID,TXN043,2024-07-26 02:00:00,186218,PAYMENT,PENDING,Nequi
