client_code,first_name,last_name,email,phone,address,city,department,invoice_number,invoice_date,due_date,total_amount,platform_name,transaction_reference,transaction_date,amount,transaction_type,status
CLI001,Juan,Carlos,juan.carlos@email.com,3001234567,Calle 123 #45-67,Bogotá,Cundinamarca,INV-2024-001,2024-01-15,2024-02-15,150000.00,Nequi,TXN-NEQ-001,2024-01-20 10:30:00,150000.00,PAYMENT,COMPLETED
CLI002,Maria,Ana,maria.ana@email.com,3002345678,Carrera 78 #90-12,Medellín,Antioquia,INV-2024-002,2024-01-16,2024-02-16,200000.00,Daviplata,TXN-DAV-001,2024-01-25 14:15:00,200000.00,PAYMENT,COMPLETED
CLI003,Carlos,David,carlos.david@email.com,3003456789,Avenida 5 #23-45,Cali,Valle del Cauca,INV-2024-003,2024-01-17,2024-02-17,175000.00,Bancolombia,TXN-BAN-001,2024-01-30 09:45:00,175000.00,PAYMENT,COMPLETED
CLI004,Ana,Sofia,ana.sofia@email.com,3004567890,Calle 10 #67-89,Barranquilla,Atlántico,INV-2024-004,2024-01-18,2024-02-18,120000.00,Nequi,TXN-NEQ-002,2024-02-01 16:20:00,120000.00,PAYMENT,COMPLETED
CLI005,Luis,Miguel,luis.miguel@email.com,3005678901,Carrera 15 #34-56,Cartagena,Bolívar,INV-2024-005,2024-01-19,2024-02-19,250000.00,Daviplata,TXN-DAV-002,2024-02-05 11:30:00,250000.00,PAYMENT,COMPLETED
CLI006,Patricia,Carmen,patricia.carmen@email.com,3006789012,Avenida 8 #12-34,Bucaramanga,Santander,INV-2024-006,2024-01-20,2024-02-20,180000.00,BBVA Colombia,TXN-BBV-001,2024-02-10 13:45:00,180000.00,PAYMENT,COMPLETED
CLI007,Ricardo,Andres,ricardo.andres@email.com,3007890123,Calle 20 #78-90,Pereira,Risaralda,INV-2024-007,2024-01-21,2024-02-21,160000.00,Banco de Bogotá,TXN-BOG-001,2024-02-12 08:15:00,160000.00,PAYMENT,COMPLETED
CLI008,Sandra,Patricia,sandra.patricia@email.com,3008901234,Carrera 25 #45-67,Manizales,Caldas,INV-2024-008,2024-01-22,2024-02-22,140000.00,Nequi,TXN-NEQ-003,2024-02-14 15:30:00,140000.00,PAYMENT,COMPLETED
CLI009,Fernando,Jose,fernando.jose@email.com,3009012345,Avenida 12 #90-12,Ibagué,Tolima,INV-2024-009,2024-01-23,2024-02-23,190000.00,Daviplata,TXN-DAV-003,2024-02-16 12:00:00,190000.00,PAYMENT,COMPLETED
CLI010,Carmen,Isabel,carmen.isabel@email.com,3000123456,Calle 30 #56-78,Villavicencio,Meta,INV-2024-010,2024-01-24,2024-02-24,220000.00,Bancolombia,TXN-BAN-002,2024-02-18 17:45:00,220000.00,PAYMENT,COMPLETED
CLI001,Juan,Carlos,juan.carlos@email.com,3001234567,Calle 123 #45-67,Bogotá,Cundinamarca,INV-2024-011,2024-02-01,2024-03-01,180000.00,Nequi,TXN-NEQ-004,2024-02-20 10:30:00,180000.00,PAYMENT,COMPLETED
CLI002,Maria,Ana,maria.ana@email.com,3002345678,Carrera 78 #90-12,Medellín,Antioquia,INV-2024-012,2024-02-02,2024-03-02,160000.00,Daviplata,TXN-DAV-004,2024-02-22 14:15:00,160000.00,PAYMENT,COMPLETED
CLI003,Carlos,David,carlos.david@email.com,3003456789,Avenida 5 #23-45,Cali,Valle del Cauca,INV-2024-013,2024-02-03,2024-03-03,200000.00,Bancolombia,TXN-BAN-003,2024-02-25 09:45:00,200000.00,PAYMENT,COMPLETED
CLI004,Ana,Sofia,ana.sofia@email.com,3004567890,Calle 10 #67-89,Barranquilla,Atlántico,INV-2024-014,2024-02-04,2024-03-04,150000.00,Nequi,TXN-NEQ-005,2024-02-28 16:20:00,150000.00,PAYMENT,COMPLETED
CLI005,Luis,Miguel,luis.miguel@email.com,3005678901,Carrera 15 #34-56,Cartagena,Bolívar,INV-2024-015,2024-02-05,2024-03-05,170000.00,Daviplata,TXN-DAV-005,2024-03-01 11:30:00,170000.00,PAYMENT,COMPLETED

